SKU	Name	Unit	Pack	ImageFile	LastWarehouse	LastSeen	SourceCommit
AR_20919	سفر طاولة ذهبي دائري	كرتون	72	AR20919.webp	jeddah	2026-08-20	75c1a366
AR_20920	سفر طاولة ذهبي مشجر	كرتون	72	AR20920.webp	jeddah	2026-08-20	75c1a366
AR_20924	سفر طاولة ذهبي مشجر	كرتون	72	AR20924.webp	jeddah	2026-08-20	75c1a366
AR_20927	سفر طاولة ذهبي مشجر	كرتون	72	AR20927.webp	jeddah	2026-08-20	75c1a366
AR_21085	مراكن ورد مجسم	كرتون	60	AR21085.webp	jeddah	2026-08-20	75c1a366
AR_22091	خضاض وملقاط بلاستيك	كرتون	60	AR22091.webp	jeddah	2026-08-01	79c59c32
AR_22413	مباخر	كرتون	72	AR_22413.webp	jeddah	2026-08-01	79c59c32
AR_22414	مباخر	كرتون	72	AR_22414.webp	jeddah	2026-08-01	79c59c32
AR_22415	مباخر	كرتون	72	AR_22415.webp	jeddah	2026-08-01	79c59c32
AR_22507	مباخر	كرتون	72	AR22507.webp	jeddah	2026-08-01	79c59c32
AR_22510	مباخر	كرتون	72	AR22510.webp	jeddah	2026-08-01	79c59c32
AR_22873	قالب كيك مستطيل ذهبي 13*29 سم	كرتون	60	AR22873.webp	jeddah	2026-08-01	79c59c32
AR_23003	صحون تقديم خزف	كرتون	60	AR23003.webp	jeddah	2026-08-01	79c59c32
AR_23057	طفايات	كرتون	72	AR23057.webp	jeddah	2026-08-01	79c59c32
AR_23907	لصق شفاف 6 حبات 3.5سم	كرتون	48	23907.webp	jeddah	2026-08-01	79c59c32
AR_24725	حافظات	كرتون	48	AR_24725.webp	jeddah	2026-08-01	79c59c32
AR_25063				AR_25063.webp			images_list
AR_25097	صحن المنيوم	كرتون	72	AR_25097.webp	jeddah	2026-08-01	79c59c32
AR_25501	جاك بلاستيك رمضاني	كرتون	48	AR_25501.webp	jeddah	2026-08-01	79c59c32
AR_25677	مناشف شعر	كرتون	72	AR_25677.webp	jeddah	2026-09-06	3f96fdbd
AR_25682	مناشف شعر	كرتون	72	AR_25682.webp	jeddah	2026-08-01	79c59c32
AR_25932	مقلميه	كرتون	72	AR_25932.webp	jeddah	2026-08-01	79c59c32
AR_25971				AR_25971.webp			images_list
AR_25975				AR_25975.webp			images_list
AR_25981				AR_25981.webp			images_list
AR_26339	مجموعة عدد مفكات	كرتون	60	26339.webp	jeddah	2026-08-01	79c59c32
AR_26340	مجموعة عدد مفكات	كرتون	60	26340.webp	jeddah	2026-08-01	79c59c32
AR_26432	ورق نوتة	كرتون	72	AR_26432.webp	jeddah	2026-08-01	79c59c32
AR_26708	برطمان زجاج مدور 630 مل	كرتون	48	AR26708.webp	jeddah	2026-09-17	4dcea4b0
AR_26714	برطمان زجاج مربع 10*6 320 مل	كرتون	72	AR26714.webp	jeddah	2026-08-01	79c59c32
AR_26717	برطمان زجاج مربع 20*6 680 مل	كرتون	48	AR26717.webp	jeddah	2026-08-01	79c59c32
AR_26962				AR_26962.webp			images_list
AR_28205	فلتر قهوة	كرتون	72	AR_28205.webp	jeddah	2026-08-01	79c59c32
AR_28307				AR_28307.webp			images_list
AR_28317				AR_28317.webp			images_list
AR_28322	مراكن اشجار 5 حبه	كرتون	48	AR_28322.webp	jeddah	2026-08-01	79c59c32
AR_28370				AR_28370.webp			images_list
AR_28371				AR_28371.webp			images_list
AR_28372				AR_28372.webp			images_list
AR_28559	لصق شفاف 8 حبه  2.8سم	كرتون	48	AR_28559.webp	jeddah	2026-08-01	79c59c32
AR_28560	لصق شفاف جهتين	كرتون	60	AR_28560.webp	jeddah	2026-08-01	79c59c32
AR_28562	لصق تغليف شفاف سم4.8×350 يارده	كرتون	36	28562.webp	jeddah	2026-09-06	3f96fdbd
AR_28566	لصق تغليف سم4.8×350 يارده	كرتون	36	28566.webp	jeddah	2026-08-01	79c59c32
AR_28567	لصق تغليف مقاس سم 4.5×170 يارده	كرتون	48	28567.webp	jeddah	2026-09-06	3f96fdbd
AR_28568	غراء حراري	كرتون	72	28568.webp	jeddah	2026-09-17	4dcea4b0
AR_28589				AR_28589.webp			images_list
AR_28629				AR_28629.webp			images_list
AR_28658				AR_28658.webp			images_list
AR_28672	العاب تعليم	كرتون	60	AR_28672.webp	jeddah	2026-09-06	3f96fdbd
AR_28675	العاب تعليم	كرتون	72	AR_28675.webp	jeddah	2026-08-20	75c1a366
AR_28680	سبورة رسم مغناطيسية	كرتون	96	AR_28680.webp	jeddah	2026-08-01	79c59c32
AR_28745	اكواب سيراميك شخصيات	كرتون	48	AR_28745.webp	jeddah	2026-09-06	3f96fdbd
AR_28847	صحون تقديم	كرتون	60	AR_28847.webp	jeddah	2026-09-17	4dcea4b0
AR_28918	الوان مائيه	كرتون	48	AR_28918.webp	jeddah	2026-08-01	79c59c32
AR_28926	برطمان زجاج مدور 790 مل	كرتون	60	AR28926.webp	jeddah	2026-08-01	79c59c32
AR_28927	برطمان زجاج مدور 950 مل	كرتون	48	AR_28927.webp	jeddah	2026-08-01	79c59c32
AR_28929	برطمان زجاج مدور بملعقة 220 مل	كرتون	72	AR_28929.webp	jeddah	2026-09-06	3f96fdbd
AR_28930	برطمان زجاج  مدور بملعقة 300 مل	كرتون	72	AR_28930.webp	jeddah	2026-09-06	3f96fdbd
AR_28931	برطمان زجاج مدور بملعقة 360 مل	كرتون	60	AR_28931.webp	jeddah	2026-09-06	3f96fdbd
AR_28933	برطمان زجاج مدور بملعقة 560 مل	كرتون	48	AR_28933.webp	jeddah	2026-09-06	3f96fdbd
AR_28937	براد شاي ml1800 سادة	كرتون	24	AR_28937.webp	riyadh	2026-09-06	3c421ea7
AR_28984				AR_28984.webp			images_list
AR_28986	اكواب بلاستيك شفاف بمقبض 5 قطع	كرتون	36	AR_28986.webp	jeddah	2026-08-01	79c59c32
AR_28995				AR_28995.webp			images_list
AR_29197	حبل بلاستيك متعدد الاستخدام	كرتون	72	AR_29197.webp	jeddah	2026-08-01	79c59c32
AR_29200	حبل غسيل بلاستيك 10متر * 8.2مم	كرتون	72	29200.webp	jeddah	2026-08-01	79c59c32
AR14353_24				AR14353_24.webp			images_list
AR21085_42				AR21085_42.webp			images_list
AR21552				AR21552.webp			images_list
AR21611_8				AR21611_8.webp			images_list
AR23057_13				AR23057_13.webp			images_list
AR28245				AR28245.webp			images_list
ARAR26737				ARAR26737.webp			images_list
ARM_10002				ARM_10002.webp			images_list
ARM_10003				ARM_10003.webp			images_list
ARM_10010	برطمان 750 مل دائري - غطاء اصفر	كرتون	24	ARM_10010.webp	jeddah	2026-08-01	79c59c32
ARM_10019				ARM_10019.webp			images_list
ARM_10020				ARM_10020.webp			images_list
ARM_10023				ARM_10023.webp			images_list
ARM_10025				ARM_10025.webp			images_list
ARM_10027	برطمان 750 مل دائري - غطاء شفاف	كرتون	24	ARM_10027.webp	jeddah	2026-08-01	79c59c32
ARM_10035	علب عصير 200 مل - غطاء اسود	كرتون	66	ARM_10035.webp	jeddah	2026-08-01	79c59c32
BA_076	علبة مونة مستطيل 2.5 لتر	كرتون	40	076.webp	jeddah	2026-09-06	3f96fdbd
BA_083	علبة مونة مستطيل 3.5 لتر	كرتون	36	083.webp	jeddah	2026-09-06	3f96fdbd
BA_124	كرسي خشابي	كرتون	1	124.webp	jeddah	2026-09-17	4dcea4b0
BA_126	قوار مربع 40 كرميدي	كرتون	12	126.webp	jeddah	2026-09-06	3f96fdbd
BA_142	سطل نفايات 25 لتر	كرتون	12	BA_142.webp	jeddah	2026-09-17	4dcea4b0
BA_179	طاولة  الشريف	كرتون	1	179.webp	jeddah	2026-09-17	4dcea4b0
BA_186	درج معالق قطعتين	كرتون	20	186.webp	jeddah	2026-09-06	3f96fdbd
BA_193	منظم خضار 4 قطع ملون	كرتون	6	193.webp	jeddah	2026-09-17	4dcea4b0
BA_273	حافظة ثلاجة	كرتون	30	273.webp	jeddah	2026-09-06	3f96fdbd
BA_342	كرسي	كرتون	1	342.webp	jeddah	2026-09-17	4dcea4b0
BA_423	قوار مدور 25 كرميدي	كرتون	24	BA_423.webp	jeddah	2026-09-17	4dcea4b0
BA_437	رف خضار دانتيل 3 قطع	كرتون	6	437.webp	jeddah	2026-09-06	3f96fdbd
BA_468	رف خضار دانتيل 4قطع	كرتون	6	468.webp	jeddah	2026-09-06	3f96fdbd
BA_512	رف زاوية 4 قطع	كرتون	10	BA_512.webp	jeddah	2026-09-17	4dcea4b0
BA_522				BA_522.webp			images_list
BA_529	رف زاوية 3 قطع	كرتون	12	BA_529.webp	jeddah	2026-09-17	4dcea4b0
BA_546				BA_546.webp			images_list
BA_595				BA_595.webp			images_list
BA_653	طاولة	كرتون	1	BA_653.webp	jeddah	2026-09-17	4dcea4b0
BA_656	زاوية شبك	كرتون	12	656.webp	jeddah	2026-09-06	3f96fdbd
BA_669	سطل 17 لتر	كرتون	24	669.webp	jeddah	2026-09-17	4dcea4b0
BA_690	قوار مدور 40 كرميدي	كرتون	12	690.webp	jeddah	2026-09-06	3f96fdbd
BA_710_M	مشك صحون طابقين دانتيل	كرتون	6	710.webp	jeddah	2026-09-06	3f96fdbd
BA_802	حافظة 55 لتر	كرتون	6	802.webp	jeddah	2026-09-06	3f96fdbd
BA_959	قوار مستطيل 55 كرميدي	كرتون	12	959.webp	jeddah	2026-09-06	3f96fdbd
BA_1008	حاجز باب 110	كرتون	48	AR_1008.webp	jeddah	2026-09-06	3f96fdbd
BA_1009	حاجز باب 120	كرتون	48	1009.webp	jeddah	2026-09-06	3f96fdbd
BA_4002_A	مناشف مطبخ مقاس 16*27 عدد 2 حبة - ملون	كرتون	108	BA_4002.webp	jeddah	2026-08-01	79c59c32
BA_4003				BA_4003.webp			images_list
BA_4004				BA_4004.webp			images_list
BA_4005				BA_4005.webp			images_list
BA_5054	أحذية	كرتون	40	5054.webp	riyadh	2026-09-17	569f5f43
BA_7152	مناشف مطبخ 3 حبة 12*12 سادة - ملون	كرتون	144	BA_7152.webp	jeddah	2026-08-01	79c59c32
BA_7237	مناشف مطبخ ملون 4 حبة 12*12	كرتون	144	BA_7237.webp	jeddah	2026-08-01	79c59c32
BA_7239	مناشف مطبخ ملون 2 حبة 16*19	كرتون	180	BA_7239.webp	jeddah	2026-08-01	79c59c32
BA_7242	مناشف مطبخ ابيض 4 حبة 12*12	كرتون	144	BA_7242.webp	jeddah	2026-08-01	79c59c32
BA_7268	مناشف جسم 1 حبة 27*54 - ملون	كرتون	168	7268.webp	riyadh	2026-08-20	7254cdf5
BA_7271	اغطية سرير - ملون	كرتون	30	BA7271.webp	riyadh	2026-08-20	7254cdf5
BA_7272	اغطية سرير - ابيض	كرتون	60	BA7272.webp	riyadh	2026-08-01	a4ac3224
BA_7274	شنط قهوة	كرتون	48	7274.webp	riyadh	2026-08-01	a4ac3224
BA_7276	شنط قهوة	كرتون	24	7276.webp	riyadh	2026-08-01	a4ac3224
BA_7277	شنط قهوة	كرتون	24	7277.webp	riyadh	2026-08-01	a4ac3224
BA_7278	شنط قهوة	كرتون	24	7278.webp	jeddah	2026-09-17	4dcea4b0
BA_7304				BA_7304.webp			images_list
CD_650				CD_650.webp			images_list
CD_950				CD_950.webp			images_list
EAK_300040	قفل درج ذهبي	كرتون	120	EAK300040.webp	jeddah	2026-08-01	79c59c32
EAK300028				EAK300028.webp			images_list
EAK300029				EAK300029.webp			images_list
EAK300031				EAK300031.webp			images_list
EAK300035				EAK300035.webp			images_list
EAK300036				EAK300036.webp			images_list
EAK300037				EAK300037.webp			images_list
JAA_300009				JAA_300009.webp			images_list
JAA_300010				JAA_300010.webp			images_list
JAA_300011				JAA_300011.webp			images_list
JAA_300012				JAA_300012.webp			images_list
JAA_300021				JAA_300021.webp			images_list
LG_2320				LG_2320.webp			images_list
OGS_25544	احذية	كرتون	24	25544.webp	jeddah	2026-09-17	4dcea4b0
OGS_230045	كوب سفر 900 مل ستيل	كرتون	25	OGS_230045.webp	jeddah	2026-08-01	79c59c32
OGS_230047	كوب سفر 900 مل أسود	كرتون	25	OGS_230047.webp	jeddah	2026-08-01	79c59c32
OGS_230062				OGS_230062.webp			images_list
OGS_230080	مجات 500 ملي	كرتون	50	OGS_230080.webp	jeddah	2026-09-06	3f96fdbd
OGS_230083	مجات 500 ملي	كرتون	50	OGS_230083.webp	jeddah	2026-09-06	3f96fdbd
OGS_230084				OGS_230084.webp			images_list
OGS_230087				OGS_230087.webp			images_list
OGS_230092				OGS_230092.webp			images_list
OGS_230098	مجات 500 ملي	كرتون	50	OGS_230098.webp	jeddah	2026-08-20	75c1a366
OGS_230105	مجات 750ml راقي	كرتون	30	OGS_230105.webp	jeddah	2026-09-06	3f96fdbd
OGS_230122				OGS_230122.webp			images_list
OV_750				OV_750.webp			images_list
R_1200				R_1200.webp			images_list
RD_500				RD_500.webp			images_list
RD_1000				RD_1000.webp			images_list
UAA200163				UAA200163.webp			images_list
